Month,Net Income,Assets,Equity
202001,14565,9990331,1097891
202002,27008,10231203,1108537
202003,29570,11526711,1096583
202004,39292,11967138,1116187
202005,48109,11586538,1134320
202006,54311,11673211,1134945
202007,64523,11574162,1146243
202008,76802,11394885,1159726
202009,83458,11323484,1168890
202010,93066,11329706,1177355
202011,97816,11295431,1186803
202012,102429,11186514,1190534
202101,12282,11276248,1202483
202102,21753,11211461,1207903
202103,35374,10952456,1213102
202104,48275,10971378,1223277
202105,64545,11096361,1242162
202106,78048,10999924,1234714
202107,95609,10902808,1250381
202108,113035,10866521,1256772
202109,126233,11085990,1265781
202110,146310,11122367,1280459
202111,161938,11710245,1288021
202112,182084,11077359,1308785
202201,18819,11543010,1320438
202202,36298,11622240,1331839
202203,53152,11866098,1341483
202204,71318,11999586,1335675
202205,91382,12152273,1321968
202206,110709,12199474,1319237
202207,129548,12220786,1331607
202208,152113,12394658,1346695
202209,175202,12513180,1353804
202210,194111,12622739,1367729
202211,212016,12636133,1388258
202212,237329,12604028,1388291
202301,25039,12708854,1413579
202302,43276,12915204,1423837
202303,69993,12949956,1441152
202304,92667,13104372,1447556
202305,114488,13166037,1467392
202306,138616,12887528,1476825
202307,157227,13088817,1484716
202308,181233,13132943,1490921
202309,205432,13326410,1502209
202310,227857,13429111,1503784
202311,248015,13534730,1530739
202312,272593,13292258,1506607
202401,27227,13712216,1535975
202402,48811,13762590,1557394
202403,69333,13815980,1562959
202404,93457,13863931,1532728
202405,118559,13928255,1559532
202406,144965,14060092,1569549
202407,171839,14250900,1588510
202408,195972,14453699,1620357
202409,222613,14248896,1637105
202410,245860,14798003,1652902
202411,268108,15020819,1655931
202412,290362,15210575,1653777
202501,27346,15344814,1685696
202502,49958,15081466,1717095
202503,76094,15266558,1731231
202504,100323,15304429,1723267
202505,126367,15597975,1743786
202506,152476,15291765,1751974
202507,178430,15389124,1775851
202508,203174,15431060,1804586
